P00533	P01133
P01111|P01112|P01116	P04049|P10398|P15056
O43524	P31749|P31751|Q9Y243
P31749|P31751|Q9Y243	Q92934
P27361|P28482	P36507|Q02750
P19419	P27361|P28482
P62993	gene
O00329|O00459|P27986|P42336|P42338|Q92569	O15530
P31749|P31751|Q9Y243	Q13418
P01116	P04049|P10398|P15056
P62993	Q07889|Q07890
P01111|P01112|P01116	Q07889|Q07890
O00329|O00459|P27986|P42336|P42338|Q92569	Q13418
O00329|O00459|P27986|P42336|P42338|Q92569	gene
P31749|P31751|Q9Y243	P55211
O15530	P31749|P31751|Q9Y243
P35222	P36402|Q9HCS4|Q9NQB0|Q9UJU2
P04049|P10398|P15056	P36507|Q02750
