Q09472|Q92793	Q13554|Q13555|Q13557|Q9UQM7
P01579	P15260|P38484
P23443|Q9UBS0	P62753
P23443|Q9UBS0	gene
P05231	P08887
P05129|P05771|P17252	Q96KS0|Q9GZT9|Q9H6Z9
P40337|P62877|Q15369|Q15370	Q16665
O00329|O00459|P27986|P42336|P42338|Q92569	P31749|P31751|Q9Y243
A6NMX2|O60573|P06730	Q13541
P31749|P31751|Q9Y243	P42345
P08559|P11177|P29803	Q15118
P00533|P04626|P06213|P08069	P01133|P01308|P05019
O00329|O00459|P27986|P42336|P42338|Q92569	P00533|P04626|P06213|P08069
A6NMX2|O60573|P06730	Q9BUB5|Q9HBH9
P40763	gene
P42345	Q13541
O00206	P19838|Q04206
P27361|P28482	P36507|Q02750
Q16665	Q96KS0|Q9GZT9|Q9H6Z9
P00533|P04626|P06213|P08069	P36507|Q02750
P15260|P38484	P19838|Q04206
P27361|P28482	Q9BUB5|Q9HBH9
